arm_wheel_angle:	19.167
arm_wheel_length:	24.500

steering_angle	valid_steering_angle	achermann_left_wheel	achermann_right_wheel	left_wheel_angle	right_wheel_angle	left_wheel_error	right_wheel_error	servo_angle	servo_raw_angle
-7.500	-7.500	-7.138	-7.900	-20.323	-9.015	13.185	1.115	-8.791	92.000	
-7.400	-7.400	-7.048	-7.789	-20.027	-8.878	12.980	1.089	-8.661	92.000	
-7.300	-7.300	-6.957	-7.679	-19.734	-8.741	12.778	1.063	-8.532	92.000	
-7.200	-7.200	-6.866	-7.568	-19.445	-8.604	12.579	1.036	-8.402	92.000	
-7.100	-7.100	-6.775	-7.458	-19.158	-8.468	12.383	1.010	-8.273	92.000	
-7.000	-7.000	-6.684	-7.348	-18.875	-8.331	12.191	0.984	-8.144	92.000	
-6.900	-6.900	-6.592	-7.237	-18.594	-8.195	12.001	0.957	-8.014	92.000	
-6.800	-6.800	-6.501	-7.128	-18.316	-8.059	11.815	0.931	-7.885	91.000	
-6.700	-6.700	-6.410	-7.018	-18.040	-7.923	11.631	0.905	-7.756	91.000	
-6.600	-6.600	-6.318	-6.908	-17.768	-7.787	11.450	0.879	-7.627	91.000	
-6.500	-6.500	-6.226	-6.799	-17.497	-7.651	11.271	0.853	-7.497	91.000	
-6.400	-6.400	-6.134	-6.690	-17.229	-7.516	11.095	0.826	-7.368	91.000	
-6.300	-6.300	-6.042	-6.580	-16.963	-7.381	10.921	0.800	-7.239	91.000	
-6.200	-6.200	-5.950	-6.471	-16.700	-7.245	10.750	0.774	-7.110	91.000	
-6.100	-6.100	-5.858	-6.363	-16.439	-7.110	10.581	0.748	-6.981	90.000	
-6.000	-6.000	-5.766	-6.254	-16.180	-6.976	10.414	0.722	-6.852	90.000	
-5.900	-5.900	-5.673	-6.145	-15.923	-6.841	10.249	0.696	-6.722	90.000	
-5.800	-5.800	-5.581	-6.037	-15.667	-6.706	10.087	0.669	-6.593	90.000	
-5.700	-5.700	-5.488	-5.929	-15.414	-6.572	9.926	0.643	-6.464	90.000	
-5.600	-5.600	-5.395	-5.821	-15.163	-6.438	9.768	0.617	-6.335	90.000	
-5.500	-5.500	-5.302	-5.713	-14.914	-6.304	9.611	0.591	-6.206	90.000	
-5.400	-5.400	-5.209	-5.605	-14.666	-6.170	9.457	0.565	-6.077	90.000	
-5.300	-5.300	-5.116	-5.497	-14.420	-6.036	9.304	0.539	-5.948	89.000	
-5.200	-5.200	-5.023	-5.390	-14.176	-5.903	9.153	0.513	-5.820	89.000	
-5.100	-5.100	-4.930	-5.282	-13.933	-5.769	9.004	0.487	-5.691	89.000	
-5.000	-5.000	-4.836	-5.175	-13.692	-5.636	8.856	0.461	-5.562	89.000	
-4.900	-4.900	-4.742	-5.068	-13.453	-5.503	8.710	0.435	-5.433	89.000	
-4.800	-4.800	-4.649	-4.961	-13.215	-5.370	8.566	0.408	-5.304	89.000	
-4.700	-4.700	-4.555	-4.855	-12.979	-5.237	8.424	0.382	-5.175	89.000	
-4.600	-4.600	-4.461	-4.748	-12.744	-5.104	8.283	0.356	-5.047	89.000	
-4.500	-4.500	-4.367	-4.642	-12.510	-4.972	8.143	0.330	-4.918	88.000	
-4.400	-4.400	-4.273	-4.535	-12.278	-4.839	8.006	0.304	-4.789	88.000	
-4.300	-4.300	-4.178	-4.429	-12.048	-4.707	7.869	0.278	-4.660	88.000	
-4.200	-4.200	-4.084	-4.323	-11.818	-4.575	7.734	0.252	-4.532	88.000	
-4.100	-4.100	-3.989	-4.217	-11.590	-4.443	7.601	0.226	-4.403	88.000	
-4.000	-4.000	-3.894	-4.111	-11.363	-4.311	7.469	0.199	-4.274	88.000	
-3.900	-3.900	-3.799	-4.006	-11.137	-4.179	7.338	0.173	-4.145	88.000	
-3.800	-3.800	-3.704	-3.900	-10.913	-4.048	7.208	0.147	-4.017	88.000	
-3.700	-3.700	-3.609	-3.795	-10.693	-3.916	7.084	0.121	-3.888	87.000	
-3.600	-3.600	-3.514	-3.690	-10.467	-3.785	6.953	0.095	-3.759	87.000	
-3.500	-3.500	-3.419	-3.585	-10.247	-3.654	6.828	0.069	-3.631	87.000	
-3.400	-3.400	-3.323	-3.480	-10.028	-3.523	6.704	0.042	-3.502	87.000	
-3.300	-3.300	-3.228	-3.376	-9.809	-3.392	6.581	0.016	-3.374	87.000	
-3.200	-3.200	-3.132	-3.271	-9.591	-3.261	6.459	-0.010	-3.245	87.000	
-3.100	-3.100	-3.036	-3.167	-9.375	-3.130	6.339	-0.036	-3.116	87.000	
-3.000	-3.000	-2.940	-3.062	-9.159	-3.000	6.219	-0.063	-2.988	86.000	
-2.900	-2.900	-2.844	-2.958	-8.945	-2.869	6.101	-0.089	-2.859	86.000	
-2.800	-2.800	-2.748	-2.854	-8.732	-2.739	5.984	-0.115	-2.731	86.000	
-2.700	-2.700	-2.651	-2.750	-8.520	-2.609	5.868	-0.141	-2.602	86.000	
-2.600	-2.600	-2.555	-2.647	-8.308	-2.479	5.753	-0.168	-2.474	86.000	
-2.500	-2.500	-2.458	-2.543	-8.098	-2.349	5.639	-0.194	-2.345	86.000	
-2.400	-2.400	-2.361	-2.440	-7.888	-2.219	5.527	-0.220	-2.217	86.000	
-2.300	-2.300	-2.265	-2.336	-7.680	-2.090	5.415	-0.247	-2.088	86.000	
-2.200	-2.200	-2.168	-2.233	-7.472	-1.960	5.304	-0.273	-1.959	85.000	
-2.100	-2.100	-2.070	-2.130	-7.265	-1.831	5.195	-0.300	-1.831	85.000	
-2.000	-2.000	-1.973	-2.027	-7.059	-1.702	5.086	-0.326	-1.702	85.000	
-1.900	-1.900	-1.876	-1.925	-6.854	-1.572	4.979	-0.352	-1.574	85.000	
-1.800	-1.800	-1.778	-1.822	-6.650	-1.443	4.872	-0.379	-1.445	85.000	
-1.700	-1.700	-1.681	-1.720	-6.447	-1.314	4.766	-0.405	-1.317	85.000	
-1.600	-1.600	-1.583	-1.618	-6.244	-1.186	4.662	-0.432	-1.188	85.000	
-1.500	-1.500	-1.485	-1.515	-6.043	-1.057	4.558	-0.458	-1.060	85.000	
-1.400	-1.400	-1.387	-1.413	-5.842	-0.929	4.455	-0.485	-0.932	84.000	
-1.300	-1.300	-1.289	-1.312	-5.642	-0.800	4.353	-0.511	-0.803	84.000	
-1.200	-1.200	-1.190	-1.210	-5.442	-0.672	4.252	-0.538	-0.675	84.000	
-1.100	-1.100	-1.092	-1.108	-5.244	-0.544	4.152	-0.565	-0.546	84.000	
-1.000	-1.000	-0.993	-1.007	-5.046	-0.416	4.052	-0.591	-0.418	84.000	
-0.900	-0.900	-0.894	-0.905	-4.849	-0.288	3.954	-0.618	-0.289	84.000	
-0.800	-0.800	-0.796	-0.804	-4.652	-0.160	3.857	-0.645	-0.161	84.000	
-0.700	-0.700	-0.697	-0.703	-4.457	-0.032	3.760	-0.671	-0.032	84.000	
-0.600	-0.600	-0.598	-0.602	-4.262	0.096	3.664	-0.698	0.096	84.000	
-0.500	-0.500	-0.498	-0.502	-4.067	0.223	3.569	-0.725	0.225	84.000	
-0.400	-0.400	-0.399	-0.401	-3.874	0.351	3.475	-0.752	0.353	84.000	
-0.300	-0.300	-0.299	-0.301	-3.681	0.478	3.381	-0.778	0.482	84.000	
-0.200	-0.200	-0.200	-0.200	-3.489	0.605	3.289	-0.805	0.610	84.000	
-0.100	-0.100	-0.100	-0.100	-3.297	0.732	3.197	-0.832	0.739	84.000	
0.000	0.000	0.000	0.000	-3.106	0.859	3.106	-0.859	0.867	84.000	
0.100	0.100	0.100	0.100	-2.916	0.986	3.016	-0.886	0.996	84.000	
0.200	0.200	0.200	0.200	-2.726	1.113	2.926	-0.913	1.124	83.000	
0.300	0.300	0.301	0.299	-2.537	1.239	2.838	-0.940	1.253	83.000	
0.400	0.400	0.401	0.399	-2.349	1.366	2.750	-0.967	1.381	83.000	
0.500	0.500	0.502	0.498	-2.161	1.492	2.663	-0.994	1.510	83.000	
0.600	0.600	0.602	0.598	-1.974	1.618	2.576	-1.021	1.638	83.000	
0.700	0.700	0.703	0.697	-1.787	1.745	2.490	-1.048	1.767	83.000	
0.800	0.800	0.804	0.796	-1.601	1.871	2.405	-1.075	1.895	83.000	
0.900	0.900	0.906	0.895	-1.416	1.997	2.321	-1.102	2.024	82.000	
1.000	1.000	1.007	0.993	-1.231	2.123	2.237	-1.129	2.152	82.000	
1.100	1.100	1.108	1.092	-1.046	2.248	2.155	-1.157	2.281	82.000	
1.200	1.200	1.210	1.190	-0.863	2.374	2.072	-1.184	2.410	82.000	
1.300	1.300	1.312	1.289	-0.679	2.500	1.991	-1.211	2.538	82.000	
1.400	1.400	1.413	1.387	-0.497	2.625	1.910	-1.238	2.667	82.000	
1.500	1.500	1.515	1.485	-0.315	2.751	1.830	-1.266	2.795	82.000	
1.600	1.600	1.618	1.583	-0.133	2.876	1.751	-1.293	2.924	82.000	
1.700	1.700	1.720	1.681	0.048	3.001	1.672	-1.320	3.053	81.000	
